,电影名称,年份,年度票房,国家地区,主类型,作品类型,片长,导演,演员
105,扫毒2:天地对决,2019,131143.34,中国,剧情,剧情/动作/犯罪/悬疑,100,邱礼涛,刘德华/古天乐/苗侨伟/林嘉欣/卫诗雅/恭硕良
106,扬名立万,2021,91948.75,中国,喜剧,喜剧/悬疑,123,刘循子墨,尹正/邓家佳/喻恩泰/杨皓宇/秦霄贤
107,拆弹专家2,2020,131477.87,中国,动作,动作/犯罪,121,邱礼涛,刘德华/倪妮/刘青云/吴卓義/谢君豪/姜皓文
108,捉妖记,2015,243996.94,中国,奇幻,奇幻/喜剧,118,许诚毅/郭钟宇/孙岩,白百何/吴君如/钟汉良/曾志伟/姜武/闫妮
109,捉妖记2,2018,223707.71,中国,喜剧,喜剧/奇幻,111,许诚毅,白百何/井柏然/梁朝伟/李宇春
110,摔跤吧!爸爸,2017,129911.99,印度,喜剧,喜剧/运动/剧情/传记,140,涅提·蒂瓦里,阿米尔·汗/桑亚·玛荷塔/法缇玛·萨那·纱卡/塞伊拉·沃西
111,攀登者,2019,109500.7,中国,剧情,剧情/冒险/动作/爱情/主旋律,125,李仁港,吴京/章子怡/张译/井柏然/胡歌
112,敢死队2,2012,33158.23,美国/中国,动作,动作/惊悚/冒险,103,西蒙·韦斯特,利亚姆·海姆斯沃斯/杰森·斯坦森/布鲁斯·威利斯/西尔维斯特·史泰龙
113,新神榜:杨戬,2022,55586.49,中国,动画,动画/奇幻,128,赵霁,王凯/李兰陵/季冠霖/李立宏
114,无双,2018,127376.34,中国,动作,动作/犯罪,130,庄文强,周润发/郭富城/廖启智/孙佳君
115,无名,2023,93157.74,中国,剧情,剧情/悬疑/动作,128,程耳,梁朝伟/王一博/周迅/黄磊/大鹏/王传君/森博之/江疏影/张婧仪
116,无名之辈,2018,79408.6,中国,剧情,剧情/喜剧,108,饶晓志,陈建斌/任素汐/潘斌龙/章宇
